,budget,popularity,release_date,revenue,runtime,title,vote_average,vote_count,month,Action,Adventure,Fantasy,Animation,Science Fiction,Drama,Thriller,Family,Comedy,History,War,Western,Romance,Crime,Mystery,Horror,Music,Documentary,Foreign,warner,universal,paramount,walt_disney,sony,Number_Genres
2337,18000000,18.492655,2003-11-24,62646763,94.0,Honey,6.0,303,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3
2338,18000000,11.238522,1996-05-24,0,81.0,Spy Hard,4.9,147,05,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
2339,1000000,14.518598,1980-02-08,21378361,89.0,The Fog,6.4,311,02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2340,18000000,19.234672,2011-04-08,47088990,106.0,Soul Surfer,6.9,342,04,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2341,18000000,4.504377,1970-06-24,24911670,121.0,Catch-22,6.7,72,06,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3
2342,0,10.529143,2009-04-10,24007324,86.0,Observe and Report,5.6,225,04,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
2343,18000000,18.379123999999997,1984-06-29,100000000,103.0,Conan the Destroyer,5.8,383,06,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2344,18000000,35.524457,1980-11-14,23000000,129.0,Raging Bull,7.7,938,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2345,18000000,13.472365,2009-09-18,36133014,109.0,Love Happens,5.6,180,09,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
2346,18000000,8.321586,1985-12-04,0,109.0,Young Sherlock Holmes,6.7,167,12,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,7
